,0,1,2,3,4,5,6,7,8
0,Mercedes-Benz,E 280,2007,8999,160 тис. км,Бориспіль ( від ),"Газ / Бензин, 3 л.",Автомат,False
1,Suzuki,SX4,2008,8200,60 тис. км,Київ ( від ),"Бензин, 1.6 л.",Автомат,False
2,Toyota,Camry,2018,31900,67 тис. км,Одеса ( від ),"Бензин, 2.5 л.",Автомат,False
3,Skoda,Superb,2017,24994,81 тис. км,Тячів ( від ),"Дизель, 2 л.",Робот,False
4,Volkswagen,Golf V,2006,7399,143 тис. км,Дрогобич ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
5,Audi,A6,2014,22000,264 тис. км,Стрий ( від ),"Дизель, 3 л.",Автомат,False
6,Volkswagen,Passat B7,2013,10800,95 тис. км,Стрий ( від ),"Бензин, 2.5 л.",Автомат,False
7,Peugeot,2008,2017,14500,60 тис. км,Запоріжжя ( від ),"Бензин, 1.2 л.",Автомат,False
8,Renault,Megane,2018,13350,145 тис. км,Бердичів ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
9,Kia,Rio,2013,5800,220 тис. км,Кам'янське (Дніпродзержинськ) ( від ),"Газ / Бензин, 1.4 л.",Автомат,False
10,Dacia,Sandero StepWay,2018,7999,30 тис. км,Кам'янське (Дніпродзержинськ) ( від ),"Бензин, 0.9 л.",Ручна / Механіка,False
11,Nissan,Teana,2008,9000,206 тис. км,Київ ( від ),"Бензин, 2.5 л.",Варіатор,False
12,Volkswagen,Passat B6,2007,7200,278 тис. км,Київ ( від ),"Дизель, 2 л.",Ручна / Механіка,False
13,Volkswagen,Touran,2004,5499,197 тис. км,Дрогобич ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
14,Toyota,Land Cruiser 200,2008,33000,77 тис. км,Житомир ( від ),"Дизель, 4.5 л.",Автомат,False
15,Renault,Megane,2017,12950,180 тис. км,Київ ( від ),"Дизель, 1.5 л.",Робот,False
16,Skoda,Octavia A7,2013,12700,183 тис. км,Львів ( від ),"Дизель, 2 л.",Автомат,False
17,Hyundai,Sonata,2013,9999,228 тис. км,Одеса ( від ),"Бензин, 2.4 л.",Автомат,True
18,Volkswagen,Golf VII,2017,15250,157 тис. км,Золочів ( від ),"Дизель, 1.6 л.",Автомат,False
19,Mercedes-Benz,A 170,2000,4200,255 тис. км,Одеса ( від ),"Дизель, 1.7 л.",Типтронік,False
20,Renault,Megane,2013,7999,252 тис. км,Київ ( від ),"Дизель, 1.6 л.",Ручна / Механіка,False
21,Renault,Megane,2012,8899,209 тис. км,Стрий ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
22,Skoda,Octavia A7,2016,12950,151 тис. км,Бердичів ( від ),"Дизель, 1.6 л.",Ручна / Механіка,False
23,Mercedes-Benz,S 350,2016,57000,128 тис. км,Дубно ( від ),"Дизель, 3.5 л.",Автомат,False
24,Renault,Megane,2013,8600,290 тис. км,Шепетівка ( від ),Дизель,Ручна / Механіка,False
25,Toyota,Land Cruiser 200,2019,83800,24 тис. км,Київ ( від ),"Дизель, 4.5 л.",Не вказано,False
26,Mercedes-Benz,S-Class,2021,221084,без пробега,Киев ( від ),"Дизель, 2.9 л.",Автомат,False
27,Volkswagen,Golf VII,2019,21600,45 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,True
28,Nissan,Qashqai,2008,9999,181 тис. км,Трускавець ( від ),"Дизель, 2 л.",Автомат,False
29,Honda,CR-V,2008,10599,187 тис. км,Трускавець ( від ),"Бензин, 2 л.",Ручна / Механіка,False
30,Opel,Zafira,2010,8399,154 тис. км,Трускавець ( від ),"Дизель, 1.9 л.",Ручна / Механіка,False
31,Subaru,Forester,2009,8999,175 тис. км,Дніпро (Дніпропетровськ) ( від ),"Дизель, 2 л.",Ручна / Механіка,False
32,Audi,Q7,2016,42500,78 тис. км,Запоріжжя ( від ),"Бензин, 3 л.",Автомат,True
33,Volkswagen,Golf VI,2014,11950,121 тис. км,Київ ( від ),"Дизель, 2 л.",Автомат,False
34,Volkswagen,Touareg,2007,12800,180 тис. км,Трускавець ( від ),"Газ / Бензин, 4.2 л.",Автомат,False
35,MINI,Countryman,2021,50209,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
36,Porsche,Cayenne,2015,55000,87 тис. км,Київ ( від ),"Бензин, 3.6 л.",Автомат,False
37,Kia,Sportage,2016,18000,156 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,False
38,Nissan,Rogue,2015,13300,128 тис. км,Харків ( від ),"Газ / Бензин, 2.5 л.",Варіатор,False
39,Renault,Grand Scenic,2006,6500,170 тис. км,Київ ( від ),"Бензин, 2 л.",Ручна / Механіка,False
40,Opel,Astra H,2008,6399,210 тис. км,Стрий ( від ),"Дизель, 1.7 л.",Ручна / Механіка,False
41,Volkswagen,Touareg,2012,21500,87 тис. км,Київ ( від ),"Бензин, 3.6 л.",Автомат,True
42,Mercedes-Benz,GLE 400,2021,116841,без пробега,Полтава ( від ),"Дизель, 2.9 л.",Автомат,False
43,MINI,Cooper S,2020,37639,без пробега,Киев ( від ),"Бензин, 2.0 л.",Механическая,False
44,Ford,Fusion,2012,13600,106 тис. км,Дніпро (Дніпропетровськ) ( від ),"Газ / Бензин, 2 л.",Типтронік,True
45,Volkswagen,Golf VII,2013,10799,262 тис. км,Львів ( від ),"Дизель, 1.6 л.",Ручна / Механіка,False
46,Audi,A6,2000,4200,340 тис. км,Миколаїв ( від ),"Дизель, 2.5 л.",Ручна / Механіка,False
47,Mercedes-Benz,E 240,2000,8800,157 тис. км,Одеса ( від ),"Бензин, 2.4 л.",Автомат,False
48,Toyota,Corolla,2008,6999,59 тис. км,Київ ( від ),"Бензин, 1.6 л.",Робот,False
49,Audi,A4,2010,12000,197 тис. км,Одеса ( від ),"Бензин, 2 л.",Автомат,True
50,BMW,X3,2013,18800,165 тис. км,Львів ( від ),"Бензин, 2 л.",Автомат,True
51,Porsche,Cayenne,2017,69000,56 тис. км,Бердичів ( від ),"Бензин, 4.8 л.",Автомат,True
52,Audi,A6,2012,24990,145 тис. км,Київ ( від ),"Бензин, 3 л.",Автомат,True
53,Volvo,XC60,2021,71978,без пробега,Полтава ( від ),"Гибрид, 2.0 л.",Автомат,False
54,Volvo,XC40,2020,48507,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
55,Mercedes-Benz,E-Class,2020,74551,без пробега,Полтава ( від ),"Дизель, 2.0 л.",Автомат,False
56,Audi,A8,2021,87373,без пробега,Запорожье ( від ),"Дизель, 3.0 л.",Типтроник,False
57,Volvo,XC40,2021,43512,без пробега,Киев ( від ),"Бензин, 1.5 л.",Автомат,False
58,Mercedes-Benz,G 63 AMG,2021,280837,без пробега,Киев ( від ),"Бензин, 4.0 л.",Автомат,False
59,BMW,318,2011,12900,79 тис. км,Київ ( від ),"Бензин, 2 л.",Автомат,False
60,Renault,Grand Scenic,2012,8300,240 тис. км,Луцьк ( від ),"Дизель, 1.5 л.",Автомат,False
61,Ford,Mustang,2016,34500,114 тис. км,Харків ( від ),"Бензин, 5 л.",Автомат,True
62,Toyota,Land Cruiser 200,2012,37300,159 тис. км,Київ ( від ),"Дизель, 4.5 л.",Не вказано,False
63,Toyota,Land Cruiser 200,2019,80000,45 тис. км,Тернопіль ( від ),"Дизель, 4.5 л.",Автомат,False
64,Porsche,Cayenne,2015,59999,350 тис. км,Луцьк ( від ),"Дизель, 4.2 л.",Автомат,False
65,Mercedes-Benz,E-Class,2021,75288,без пробега,Харьков ( від ),"Дизель, 2.0 л.",Автомат,False
66,Mercedes-Benz,GLC 200,2021,66789,без пробега,Полтава ( від ),"Дизель, 2.0 л.",Автомат,False
67,BMW,X5,2014,43900,120 тис. км,Одеса ( від ),"Дизель, 3 л.",Автомат,False
68,Volkswagen,Passat B8,2016,15400,227 тис. км,Одеса ( від ),"Дизель, 2 л.",Ручна / Механіка,False
69,Mitsubishi,Lancer,2008,7800,149 тис. км,Вінниця ( від ),"Газ / Бензин, 1.8 л.",Варіатор,False
70,BMW,328,2015,18000,150 тис. км,Чернівці ( від ),"Бензин, 2 л.",Автомат,True
71,Mercedes-Benz,GLC 300,2019,43900,13 тис. км,Одеса ( від ),"Бензин, 2 л.",Автомат,True
72,Mercedes-Benz,E-Class,2020,75288,без пробега,Харьков ( від ),"Бензин, 2.0 л.",Автомат,False
73,Peugeot,3008,2021,30555,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
74,Peugeot,5008,2020,39491,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
75,Citroen,Berlingo пасс.,2021,27954,без пробега,Харьков ( від ),"Дизель, 1.5 л.",Автомат,False
76,Mercedes-Benz,GLE 400,2021,127777,без пробега,Киев ( від ),"Дизель, 2.9 л.",Автомат,False
77,Volkswagen,Golf VI,2011,7850,113 тис. км,Луцьк ( від ),1.4 л.,Ручна / Механіка,False
78,BMW,X5,2016,41500,150 тис. км,Хмельницький ( від ),Дизель,Автомат,False
79,Mercedes-Benz,E 200,2013,21500,134 тис. км,Суми ( від ),"Бензин, 2 л.",Автомат,False
80,BMW,X6,2020,108200,25 тис. км,Київ ( від ),"Бензин, 3 л.",Автомат,False
81,Audi,A8,2011,33800,38 тис. км,Одеса ( від ),"Бензин, 3 л.",Автомат,False
82,Mazda,6,2017,16200,122 тис. км,Харків ( від ),"Бензин, 2.5 л.",Автомат,True
83,Mazda,3,2013,8400,144 тис. км,Кременчук ( від ),"Бензин, 2 л.",Ручна / Механіка,True
84,BMW,X6,2017,60000,84 тис. км,Дніпро (Дніпропетровськ) ( від ),"Дизель, 3 л.",Автомат,False
85,Volvo,V90,2020,73245,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
86,Porsche,Taycan,2021,147780,без пробега,Киев ( від ),"Электро, 0.0 л.",Автомат,False
87,Kia,Stonic,2020,19001,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.4 л.",Автомат,False
88,Volvo,XC90,2021,66505,без пробега,Киев ( від ),"Бензин, 2.0 л.",Автомат,False
89,Suzuki,Vitara,2021,19342,без пробега,Ивано-Франковск ( від ),"Бензин, 1.6 л.",Автомат,False
90,Suzuki,SX4,2021,18429,без пробега,Ивано-Франковск ( від ),"Бензин, 1.6 л.",Механическая,False
91,Mazda,CX-30,2021,27613,без пробега,Киев ( від ),"Гибрид, 2.0 л.",Автомат,False
92,Suzuki,SX4,2021,22080,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Автомат,False
93,Suzuki,Vitara,2021,18977,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.6 л.",Автомат,False
94,Kia,XCeed,2020,23423,без пробега,Днепр (Днепропетровск) ( від ),"Бензин, 1.4 л.",Автомат,False
95,Land Rover,Range Rover,2021,167032,без пробега,Киев ( від ),"Дизель, 3.0 л.",Автомат,False
96,Mercedes-Benz,EQC,2021,95338,без пробега,Киев ( від ),"Электро, 0.0 л.",Автомат,False
97,Volvo,XC40,2021,45352,без пробега,Херсон ( від ),"Бензин, 1.5 л.",Автомат,False
98,Mazda,3,2019,17300,20 тис. км,Львів ( від ),"Бензин, 2 л.",Автомат,True
99,Toyota,Corolla,2008,8300,155 тис. км,Дніпро (Дніпропетровськ) ( від ),"Газ / Бензин, 1.6 л.",Не вказано,False
100,BMW,X5,2014,33700,154 тис. км,Харків ( від ),"Дизель, 3 л.",Автомат,False
101,Mercedes-Benz,E 220,2021,76314,без пробега,Днепр (Днепропетровск) ( від ),"Дизель, 2.0 л.",Автомат,False
102,Mercedes-Benz,E-Class,2020,79077,без пробега,Днепр (Днепропетровск) ( від ),"Дизель, 2.0 л.",Автомат,False
103,Volvo,XC60,2020,62346,без пробега,Киев ( від ),"Дизель, 2.0 л.",Автомат,False
104,Mitsubishi,Eclipse Cross,2021,26755,без пробега,Ивано-Франковск ( від ),"Бензин, 1.5 л.",Вариатор,False
